Data;banrisul-conta-corrente;banrisul-fundo-vip;itau-conta-corrente;itau-fundo-fidelidade;itau-cartao-mastercard;itau-capitalizacao-capitalizacao
1/15/2011;-36.32;31393.16;-;-;-;-
2/15/2011;667.15;31611.11;2483.23;-;-;-
3/15/2011;-416.62;31813.45;3120.25;-;-;-
4/15/2011;-490.93;32016.17;-66.62;5000.00;-;-
5/15/2011;45.09;32289.68;-197.66;6000.00;-;-
6/15/2011;-544.45;32449.39;392.70;7000.00;-;-
7/15/2011;93.53;32685.90;8.64;7058.41;-;-
8/15/2011;907.61;32911.08;53.45;7602.17;-;-
9/15/2011;63.81;33680.09;211.09;8154.63;-717.88;-
10/15/2011;-609.65;33914.51;297.17;8719.86;-1168.90;-
11/15/2011;-58.76;34093.55;-153.58;8771.33;-1571.86;-
12/15/2011;-22.07;34319.71;413.69;10578.65;-1485.54;117.32
