Data;banrisul-conta-corrente;banrisul-fundo-vip;itau-conta-corrente;itau-fundo-fidelidade;itau-cartao-mastercard;itau-capitalizacao-capitalizacao;hsbc-conta-corrente;hsbc-cartao-visa;hsbc-capitalizacao-capitalizacao;hsbc-conta-poupanca
1/15/2012;7.13;34576.92;276.77;10633.50;-1321.15;174.81;-;-;-;-
2/15/2012;45.68;34822.77;-229.29;10707.53;-1169.97;232.64;-;-;-;-
3/15/2012;623.04;35027.08;-456.96;10768.54;-1259.98;290.61;-;-;-;-
4/15/2012;610.44;35188.17;714.20;10848.47;-1203.37;349.16;-;-;-;-
5/15/2012;-46.93;35354.64;257.96;10912.31;-864.59;407.69;-;-;-;-
6/15/2012;-218.16;35477.86;851.56;14724.29;-688.77;466.82;-;-;-;-
7/15/2012;-223.66;35614.62;1611.64;16274.35;-731.83;525.96;-;-;-;-
8/15/2012;-472.43;35756.80;1391.20;18067.57;-101.21;588.38;-;-;-;-
9/15/2012;1144.98;35913.61;1651.52;18124.64;-24.32;651.11;2647.70;-371.27;7.20;-
10/15/2012;1708.48;36071.26;1484.65;18198.06;-9.39;714.09;1417.96;-549.25;14.42;-
11/15/2012;2298.30;36208.10;1343.55;18268.35;-;777.39;629.44;-302.90;43.29;7000.00
12/15/2012;879.93;36345.89;1047.50;18357.51;-;841.00;1240.45;-452.87;107.99;16028.94
