Data;banrisul-conta-corrente;banrisul-fundo-vip;itau-conta-corrente;itau-fundo-fidelidade;itau-cartao-mastercard;itau-conta-poupanca;itau-capitalizacao-capitalizacao;itau-cdb-cdb;itau-fundo-cap;itau-fundo-kinea;itau-previdencia-privada;hsbc-conta-corrente;hsbc-cartao-visa;hsbc-capitalizacao-capitalizacao;hsbc-conta-poupanca
1/15/2013;723.32;36522.29;412.05;18415.79;-;-;904.93;-;-;-;-;192.56;-333.98;173.02;19595.19
2/15/2013;262.75;36659.25;546.37;18502.47;-;-;969.18;-;-;-;-;79.28;-336.82;238.38;22176.19
3/15/2013;156.94;36808.22;639.28;18578.86;-;-;1033.75;-;-;-;-;142.03;-1074.89;320.93;26267.87
4/15/2013;810.87;36931.65;491.51;18666.79;-;-;1098.64;-;-;-;-;3367.77;-584.48;390.62;38626.46
5/15/2013;1054.56;37075.64;365.38;18743.09;-;-;1163.86;-;-;-;-;142.62;-584.37;460.61;42786.14
6/15/2013;544.04;37229.58;815.41;18847.30;-;-;1229.41;-;-;-;-;2329.94;-916.26;531.00;42968.96
7/15/2013;335.79;37372.75;506.45;18940.02;-;-;1295.28;-;-;-;-;1408.69;-215.36;601.73;46162.50
8/15/2013;718.26;37549.23;355.62;19016.33;-;-;1365.50;-;-;-;-;5308.56;-3215.19;672.88;76377.77
9/15/2013;10144.94;-;1386.08;19110.10;-;57000.00;1435.81;-;-;-;-;75087.74;-429.79;747.88;-
10/15/2013;6834.37;-;4566.49;-;-836.48;-;1506.58;60110.26;10008.00;20005.73;59244.88;-;-;-;-
11/15/2013;5455.46;-;1912.41;-;-770.28;5250.00;1578.98;60669.49;10065.24;20189.39;59533.60;-;-;-;-
12/15/2013;4798.16;-;2432.18;-;-2478.60;5278.68;1650.68;61042.34;10122.87;20338.85;59935.62;-;-;-;-
